Name,Dropdown Name,URL,Legacy/M2M,Type,Zone,Region,State,Methasoft Version
Mobile - Legacy,Mobile - Legacy,https://cmg-mob.netalytics-cloud.com/Methasoft.Net.CMG.Mobile,Legacy,Live,Treatment Titans,South,Alabama,8.1.3.0
Mobile - M2M,Mobile - M2M,https://NS-mob.netalytics-cloud.com/Methasoft.Net.NewSeason.Mobile,M2M,Live,Treatment Titans,South,Alabama,8.1.3.0
Montgomery - Legacy,Montgomery - Legacy,https://cmg-Mon.netalytics-cloud.com/Methasoft.Net.CMG.Montgomery,Legacy,Live,Treatment Titans,South,Alabama,8.1.3.0
Montgomery - M2M,Montgomery - M2M,https://NS-mon.netalytics-cloud.com/Methasoft.Net.NewSeason.Montgomery,M2M,Live,Treatment Titans,South,Alabama,8.1.3.0
Morganton - Legacy,Morganton - Legacy,https://cmg-mor.netalytics-cloud.com/Methasoft.Net.CMG.Morganton,Legacy,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Morganton - M2M,Morganton - M2M,https://NS-mor.netalytics-cloud.com/Methasoft.Net.NewSeason.Morganton,M2M,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Naples - Legacy,Naples - Legacy,https://cmg-nap.netalytics-cloud.com/Methasoft.Net.CMG.Naples,Legacy,Live,Treatment Titans,North Florida,Florida,8.1.3.0
Naples - M2M,Naples - M2M,https://NS-nap.netalytics-cloud.com/Methasoft.Net.NewSeason.Naples,M2M,Live,Treatment Titans,North Florida,Florida,8.1.3.0
New Hanover - Legacy,New Hanover - Legacy,https://cmg-nha.netalytics-cloud.com/Methasoft.Net.CMG.NewHanover,Legacy,Live,Treatment Titans,Mid-Atlantic,North Carolina,8.1.3.0
New Hanover - M2M,New Hanover - M2M,https://NS-nha.netalytics-cloud.com/Methasoft.Net.NewSeason.NewHanover,M2M,Live,Treatment Titans,Mid-Atlantic,North Carolina,8.1.3.0
North Charlotte - Legacy,North Charlotte - Legacy,https://cmg-nch.netalytics-cloud.com/Methasoft.Net.CMG.NorthCharlotte,Legacy,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
North Charlotte - M2M,North Charlotte - M2M,https://NS-nch.netalytics-cloud.com/Methasoft.Net.NewSeason.NorthCharlotte,M2M,Live,Treatment Titans,Carolinas,North Carolina,8.1.3.0
Northwest Georgia - Legacy,Northwest Georgia - Legacy,https://cmg-nwg.netalytics-cloud.com/Methasoft.Net.CMG.NorthwestGeorgia,Legacy,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
Northwest Georgia - M2M,Northwest Georgia - M2M,https://NS-nwg.netalytics-cloud.com/Methasoft.Net.NewSeason.NorthwestGeorgia,M2M,Live,Treatment Titans,SouthEast,Georgia,8.1.3.0
NW San Antonio - Legacy,NW San Antonio - Legacy,https://cmg-nws.netalytics-cloud.com/Methasoft.Net.CMG.NWSanAntonio,Legacy,Live,Treatment Titans,Gulf,Texas,8.1.3.0
